State,1987,1988,Difference
Alabama,1110,1023,87
Arizona,937,944,-7
Arkansas,639,610,29
California,5504,5390,114
Colorado,591,497,94
Connecticut,449,484,-35
Delaware,146,160,-14
Florida,2839,3078,-239
Georgia,1599,1653,-54
Idaho,262,257,5
Illinois,1660,1837,-177
Indiana,1055,1101,-46
Iowa,491,557,-66
Kansas,491,483,8
Kentucky,844,838,6
Louisiana,827,925,-98
Maine,232,255,-23
Maryland,814,782,32
Massachusetts,689,725,-36
Michigan,1597,1704,-107
Minnesota,530,612,-82
Mississippi,756,722,34
Missouri,1044,1103,-59
Montana,234,198,36
Nebraska,297,261,36
Nevada,262,286,-24
New Hampshire,179,166,13
New Jersey,1023,1051,-28
New Mexico,568,487,81
New York,2333,2255,78
North Carolina,1584,1573,11
North Dakota,101,104,-3
Ohio,1772,1763,9
Oklahoma,597,634,-37
Oregon,620,677,-57
Pennsylvania,1987,1931,56
Rhode Island,113,125,-12
South Carolina,1086,1034,52
South Dakota,134,147,-13
Tennessee,1248,1266,-18
Texas,3261,3393,-132
Utah,296,297,-1
Vermont,119,129,-10
Virginia,1021,1071,-50
Washington,780,778,2
West Virginia,471,460,11
Wisconsin,797,807,-10
Wyoming,129,155,-26
